Episode,Steps,Return,Crash
1.000000000000000000e+00,4.000000000000000000e+01,3.364387615752937677e+01,0.000000000000000000e+00
2.000000000000000000e+00,4.000000000000000000e+01,3.425313083962472405e+01,0.000000000000000000e+00
3.000000000000000000e+00,4.000000000000000000e+01,3.482777753328386439e+01,0.000000000000000000e+00
4.000000000000000000e+00,4.000000000000000000e+01,3.738564993798429725e+01,0.000000000000000000e+00
5.000000000000000000e+00,4.000000000000000000e+01,3.848102360197679417e+01,0.000000000000000000e+00
6.000000000000000000e+00,4.000000000000000000e+01,3.255235101404607434e+01,0.000000000000000000e+00
7.000000000000000000e+00,4.000000000000000000e+01,3.112342627734532741e+01,0.000000000000000000e+00
8.000000000000000000e+00,4.000000000000000000e+01,2.617720660515529829e+01,0.000000000000000000e+00
9.000000000000000000e+00,4.000000000000000000e+01,3.313554567271379625e+01,0.000000000000000000e+00
1.000000000000000000e+01,4.000000000000000000e+01,2.893563839299308427e+01,0.000000000000000000e+00
